"helped"	"Context"	"Condition"	"Gender"	"Target"	"Subject"	"Dyade"	"Age"	"Mean"	"SD"
"100"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.497604381_m_D75"	"D75"	5.497604381	-0.0227922725490196	0.00858566119421486
"101"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.585215606_m_D35"	"D35"	5.585215606	-0.0263840220588235	0.00364333639515532
"102"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.678302533_m_D24"	"D24"	5.678302533	0.00577746892507003	0.00711656931491307
"103"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.754962355_m_D74"	"D74"	5.754962355	-0.0172057377976191	0.00559741290456633
"104"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.760438056_m_D17"	"D17"	5.760438056	-0.000402640196078441	0.00689135867815839
"105"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.935660507_m_D28"	"D28"	5.935660507	-0.00805293153594771	0.00931375560663145
"106"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E2_5.782340862_m_D98"	"D98"	5.782340862	0.0234927262780112	0.0217131975070266
"107"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E2_6.034223135_m_D99"	"D99"	6.034223135	0.0125540647058824	0.00921313456377572
"108"	"not_helped"	"incon"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.325119781_f_D37"	"D37"	5.325119781	0.0266317116479925	0.0199347232581827
"109"	"not_helped"	"incon"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.453798768_f_D61"	"D61"	5.453798768	-0.014236131232493	0.0351625550582991
"110"	"not_helped"	"incon"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.45927447_f_D6"	"D6"	5.45927447	0.0153935134628852	0.00844631938614706
"111"	"not_helped"	"incon"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.470225873_f_D64"	"D64"	5.470225873	-0.0215801432422969	0.00898679688244867
"112"	"not_helped"	"incon"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.475701574_f_D65"	"D65"	5.475701574	0.00707438848039216	0.0113553023071567
"113"	"not_helped"	"incon"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.998631075_f_D69"	"D69"	5.998631075	-0.175002083333333	0.00532925761625962
"114"	"not_helped"	"incon"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E2_5.371663244_f_D96"	"D96"	5.371663244	-0.00799475245098038	0.0647414015332142
"115"	"not_helped"	"incon"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.349760438_m_D4"	"D4"	5.349760438	-0.035474364379085	0.0134696882969214
"116"	"not_helped"	"incon"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.368925394_m_D33"	"D33"	5.368925394	-0.0209808699813259	0.00957357296063287
"117"	"not_helped"	"incon"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.522245038_m_D42"	"D42"	5.522245038	-0.00623247342914439	0.0123284856585044
"118"	"not_helped"	"incon"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.538672142_m_D68"	"D68"	5.538672142	-0.0146448449754902	0.00825862857631637
"119"	"not_helped"	"incon"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.990417522_m_D18"	"D18"	5.990417522	-0.00847280882352941	0.0125470028898731
"120"	"not_helped"	"incon"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E2_5.52772074_m_D93"	"D93"	5.52772074	-0.00629556550245098	0.0198174862607582
"121"	"not_helped"	"incon"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E2_5.637234771_m_D101"	"D101"	5.637234771	0.0213838024509804	0.0096351529762362
"122"	"not_helped"	"incon"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E2_5.648186174_m_D100"	"D100"	5.648186174	-0.0461116454248366	0.0140846030452741
