"helped"	"Context"	"Condition"	"Gender"	"Dyade"	"Target"	"Subject"	"Age"	"Experimenter"	"Mean"	"SD"
"91"	"not_helped"	"con"	"unobs"	"m"	"D46"	"target"	"NeeCo3eye_unobs_con_target_E1_5.642710472_m_D46"	5.642710472	"E1"	-0.0159839911764706	0.00217441587927358
"92"	"not_helped"	"con"	"unobs"	"m"	"D47"	"target"	"NeeCo3eye_unobs_con_target_E1_5.609856263_m_D47"	5.609856263	"E1"	-0.0149831289215687	0.0045546344231518
"93"	"not_helped"	"con"	"unobs"	"m"	"D70"	"target"	"NeeCo3eye_unobs_con_target_E1_5.853524983_m_D70"	5.853524983	"E1"	-0.0147274513071896	0.00774971108978647
"94"	"not_helped"	"con"	"unobs"	"m"	"D8"	"target"	"NeeCo3eye_unobs_con_target_E1_5.968514716_m_D8"	5.968514716	"E1"	-0.14139263335084	0.00621311716812897
"95"	"not_helped"	"incon"	"obs"	"f"	"D29"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.401779603_f_D29"	5.401779603	"E1"	-0.0467543308823529	0.0127302743564703
"96"	"not_helped"	"incon"	"obs"	"f"	"D54"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.352498289_f_D54"	5.352498289	"E1"	-0.00290733795248864	0.002805982166596
"97"	"not_helped"	"incon"	"obs"	"f"	"D73"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.585215606_f_D73"	5.585215606	"E1"	-0.0194857495798319	0.0132554963723071
"98"	"not_helped"	"incon"	"obs"	"f"	"D92"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E2_5.883641342_f_D92"	5.883641342	"E2"	-0.00531841379551817	0.00263008294163968
"99"	"not_helped"	"incon"	"obs"	"m"	"D14"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.366187543_m_D14"	5.366187543	"E1"	-0.017046931372549	0.00345793787862298
"100"	"not_helped"	"incon"	"obs"	"m"	"D17"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.760438056_m_D17"	5.760438056	"E1"	0.00563237757352942	0.00313318590968527
"101"	"not_helped"	"incon"	"obs"	"m"	"D24"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.678302533_m_D24"	5.678302533	"E1"	0.00709145680147056	0.00657006086773297
"102"	"not_helped"	"incon"	"obs"	"m"	"D28"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.935660507_m_D28"	5.935660507	"E1"	-0.00133451241830063	0.00820710875354396
"103"	"not_helped"	"incon"	"obs"	"m"	"D35"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.585215606_m_D35"	5.585215606	"E1"	0.00906403210784313	0.0048469993061077
"104"	"not_helped"	"incon"	"obs"	"m"	"D74"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.754962355_m_D74"	5.754962355	"E1"	0.0196971856442577	0.00188825146880246
"105"	"not_helped"	"incon"	"obs"	"m"	"D75"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.497604381_m_D75"	5.497604381	"E1"	0.0171756875	0.00503962092624982
"106"	"not_helped"	"incon"	"obs"	"m"	"D98"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E2_5.782340862_m_D98"	5.782340862	"E2"	0.000591495623249297	0.00683975378434285
"107"	"not_helped"	"incon"	"obs"	"m"	"D99"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E2_6.034223135_m_D99"	6.034223135	"E2"	0.0146127947712418	0.00493659649510589
"108"	"not_helped"	"incon"	"unobs"	"f"	"D37"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.325119781_f_D37"	5.325119781	"E1"	-0.01074652910831	0.0104866345927377
"109"	"not_helped"	"incon"	"unobs"	"f"	"D6"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.45927447_f_D6"	5.45927447	"E1"	-0.0168704533088235	0.0091254657674685
"110"	"not_helped"	"incon"	"unobs"	"f"	"D61"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.453798768_f_D61"	5.453798768	"E1"	0.00583313606442576	0.0127675015891572
"111"	"not_helped"	"incon"	"unobs"	"f"	"D64"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.470225873_f_D64"	5.470225873	"E1"	0.00344294845938376	0.00187892127773925
"112"	"not_helped"	"incon"	"unobs"	"f"	"D65"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.475701574_f_D65"	5.475701574	"E1"	-0.0184138406862745	0.0103852370445593
"113"	"not_helped"	"incon"	"unobs"	"f"	"D69"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.998631075_f_D69"	5.998631075	"E1"	-0.151981268954248	0.0084668263014777
"114"	"not_helped"	"incon"	"unobs"	"f"	"D96"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E2_5.371663244_f_D96"	5.371663244	"E2"	-0.0746171299019608	0.00672955760275535
"115"	"not_helped"	"incon"	"unobs"	"m"	"D100"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E2_5.648186174_m_D100"	5.648186174	"E2"	0.0262489849673202	0.00795065058794617
"116"	"not_helped"	"incon"	"unobs"	"m"	"D101"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E2_5.637234771_m_D101"	5.637234771	"E2"	-0.00970813088235294	0.0054585060946972
"117"	"not_helped"	"incon"	"unobs"	"m"	"D18"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.990417522_m_D18"	5.990417522	"E1"	0.0153102794117647	0.0101393789615445
"118"	"not_helped"	"incon"	"unobs"	"m"	"D33"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.368925394_m_D33"	5.368925394	"E1"	0.01959772875817	0.00543621819618666
"119"	"not_helped"	"incon"	"unobs"	"m"	"D4"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.349760438_m_D4"	5.349760438	"E1"	-0.00235226388888889	0.00118328175657121
"120"	"not_helped"	"incon"	"unobs"	"m"	"D42"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.522245038_m_D42"	5.522245038	"E1"	-0.00449695744206771	0.00193711773508518
"121"	"not_helped"	"incon"	"unobs"	"m"	"D68"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.538672142_m_D68"	5.538672142	"E1"	0.00614718596813731	0.00484770609488105
"122"	"not_helped"	"incon"	"unobs"	"m"	"D93"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E2_5.52772074_m_D93"	5.52772074	"E2"	-0.00404483008578433	0.00930129813719958
