"Helped"	"Context"	"Observation"	"Gender"	"Target"	"Subject"	"Dyade"	"Age"	"Mean"	"SD"
"112"	"not_helped"	"incon"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.475701574_f_D65"	"D65"	5.475701574	-0.0113394522058824	0.00914784915628031
"113"	"not_helped"	"incon"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.998631075_f_D69"	"D69"	5.998631075	-0.326983352287582	0.00639305171311187
"114"	"not_helped"	"incon"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E2_5.371663244_f_D96"	"D96"	5.371663244	-0.0826118823529412	0.059568047277425
"115"	"not_helped"	"incon"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.349760438_m_D4"	"D4"	5.349760438	-0.0378266282679738	0.0131589577425804
"116"	"not_helped"	"incon"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.368925394_m_D33"	"D33"	5.368925394	-0.00138314122315589	0.013475886149708
"117"	"not_helped"	"incon"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.522245038_m_D42"	"D42"	5.522245038	-0.0107294308712121	0.013353344135801
"118"	"not_helped"	"incon"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.538672142_m_D68"	"D68"	5.538672142	-0.0084976590073529	0.0101482488121192
"119"	"not_helped"	"incon"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.990417522_m_D18"	"D18"	5.990417522	0.0068374705882353	0.0122724684533595
"120"	"not_helped"	"incon"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E2_5.52772074_m_D93"	"D93"	5.52772074	-0.0103403955882353	0.0277033957769874
"121"	"not_helped"	"incon"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E2_5.637234771_m_D101"	"D101"	5.637234771	0.0116756715686275	0.0110209162108567
"122"	"not_helped"	"incon"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E2_5.648186174_m_D100"	"D100"	5.648186174	-0.0198626604575163	0.0133160405757562
