Subject	ID	Condition	Age	Gender	Age.cont	Trial	Mean
20190731T102726_ProShame2_95_w_obs_5_F_E2_9_5.46201232	95	obs	5	w	5.46201232	Test_2	-0.012113407051282084
20190906T090657_ProShame2_117_m_unobs_5_NA_E1_12_5.472963723	117	unobs	5	m	5.472963723	Test_2	-0.00822494230769231
20190527T085848_ProShame2_53_m_obs_5_NA_E1_3_5.492128679	53	obs	5	m	5.492128679	Test_2	-0.006979725961538525
20190529T092900_ProShame2_11_w_unobs_5_NA_E2_4_5.544147844	11	unobs	5	w	5.544147844	Test_2	-0.012441817307692308
20190731T085641_ProShame2_91_m_obs_5_F_E1_9_5.60164271	91	obs	5	m	5.60164271	Test_2	-0.021174629807692327
20190524T085944_ProShame2_01_m_unobs_5_NA_E1_3_5.612594114	1	unobs	5	m	5.612594114	Test_2	0.018732134615384605
20190925T083424_ProShame2_135_w_obs_5_F_E1_13_5.618069815	135	obs	5	w	5.618069815	Test_2	-0.050971635416666675
20190719T084003_ProShame2_84_m_obs_5_NA_E2_8_5.631759069	84	obs	5	m	5.631759069	Test_2	-0.0025192855263157722
20190703T103035_ProShame2_76_w_obs_5_M_E1_6_5.631759069	76	obs	5	w	5.631759069	Test_2	1.002243589743473e-4
20190926T091327_ProShame2_141_w_obs_5_F_E2_14_5.653661875	141	obs	5	w	5.653661875	Test_2	-0.04203142788461536
20190703T104639_ProShame2_77_w_obs_5_M_E1_6_5.661875428	77	obs	5	w	5.661875428	Test_2	0.01055928365384614
20190731T092113_ProShame2_92_m_obs_5_F_E1_9_5.694729637	92	obs	5	m	5.694729637	Test_2	0.009163064102564114
20190731T093518_ProShame2_93_w_obs_5_F_E1_9_5.724845996	93	obs	5	w	5.724845996	Test_2	-0.026458146634615383
20190522T093146_ProShame2_04_m_unobs_5_NA_E1_3_5.752224504	4	unobs	5	m	5.752224504	Test_2	-0.019395448717948703
20190906T100635_ProShame2_121_m_unobs_5_NA_E2_12_5.77412731	121	unobs	5	m	5.77412731	Test_2	-0.023781672115384622
20190621T085957_ProShame2_64_w_obs_5_F_E1_5_5.839835729	64	obs	5	w	5.839835729	Test_2	-0.08172972115384618
20190619T091112_ProShame2_60_w_obs_5_M_E2_4_5.856262834	60	obs	5	w	5.856262834	Test_2	0.04161280404858312
