"Subject"	"ID"	"Condition"	"Age"	"Gender"	"Age.cont"	"Trial"	"Mean"
"139"	"20190906T100635_ProShame2_121_m_unobs_5_NA_E2_12_5.77412731"	"121"	"unobs"	"5"	"m"	"5.77412731"	"Test 1"	-0.0114613984432234
"140"	"20190906T100635_ProShame2_121_m_unobs_5_NA_E2_12_5.77412731"	"121"	"unobs"	"5"	"m"	"5.77412731"	"Test 2"	0.0194735358974359
"141"	"20190925T083424_ProShame2_135_w_obs_5_F_E1_13_5.618069815"	"135"	"obs"	"5"	"w"	"5.618069815"	"Test 1"	0.0831830993589743
"142"	"20190925T083424_ProShame2_135_w_obs_5_F_E1_13_5.618069815"	"135"	"obs"	"5"	"w"	"5.618069815"	"Test 2"	0.121516291666667
"143"	"20190925T090738_ProShame2_136_w_obs_5_F_E1_13_5.01026694"	"136"	"obs"	"5"	"w"	"5.01026694"	"Test 1"	-0.0138835080128204
"144"	"20190925T090738_ProShame2_136_w_obs_5_F_E1_13_5.01026694"	"136"	"obs"	"5"	"w"	"5.01026694"	"Test 2"	-0.0876225176282051
"145"	"20190925T092825_ProShame2_137_m_obs_4_F_E1_13_4.947296372"	"137"	"obs"	"4"	"m"	"4.947296372"	"Test 1"	-0.0844367865384615
"146"	"20190925T092825_ProShame2_137_m_obs_4_F_E1_13_4.947296372"	"137"	"obs"	"4"	"m"	"4.947296372"	"Test 2"	-0.00677758653846152
"147"	"20190925T094811_ProShame2_138_m_obs_4_F_E2_13_4.366872005"	"138"	"obs"	"4"	"m"	"4.366872005"	"Test 1"	0.00964734294871793
"148"	"20190925T094811_ProShame2_138_m_obs_4_F_E2_13_4.366872005"	"138"	"obs"	"4"	"m"	"4.366872005"	"Test 2"	-0.0381282596153846
"149"	"20190925T103209_ProShame2_140_m_obs_4_F_E2_13_4.440793977"	"140"	"obs"	"4"	"m"	"4.440793977"	"Test 1"	0.0448642211538462
"150"	"20190926T091327_ProShame2_141_w_obs_5_F_E2_14_5.653661875"	"141"	"obs"	"5"	"w"	"5.653661875"	"Test 1"	0.0692617307692308
"151"	"20190926T091327_ProShame2_141_w_obs_5_F_E2_14_5.653661875"	"141"	"obs"	"5"	"w"	"5.653661875"	"Test 2"	0.0796418990384615
"152"	"20190926T094044_ProShame2_142_w_obs_5_F_E2_14_5.639972621"	"142"	"obs"	"5"	"w"	"5.639972621"	"Test 1"	-0.0302356057692308
"153"	"20190926T100409_ProShame2_144_m_obs_5_F_E1_14_5.905544148"	"144"	"obs"	"5"	"m"	"5.905544148"	"Test 1"	-0.0167473605769231
"154"	"20190926T103233_ProShame2_145_m_obs_5_F_E1_14_5.56605065"	"145"	"obs"	"5"	"m"	"5.56605065"	"Test 1"	-0.0417439743589744
"155"	"20190926T105915_ProShame2_146_m_obs_4_F_E1_14_4.651608487"	"146"	"obs"	"4"	"m"	"4.651608487"	"Test 1"	0.0413311846153846
"156"	"20190926T105915_ProShame2_146_m_obs_4_F_E1_14_4.651608487"	"146"	"obs"	"4"	"m"	"4.651608487"	"Test 2"	-0.013385983974359
"157"	"20191010T093256_ProShame2_147_w_obs_5_F_E1_14_5.319644079"	"147"	"obs"	"5"	"w"	"5.319644079"	"Test 1"	0.00395195352564102
"158"	"20191010T093256_ProShame2_147_w_obs_5_F_E1_14_5.319644079"	"147"	"obs"	"5"	"w"	"5.319644079"	"Test 2"	0.00281165224358966
"159"	"20191010T105901_ProShame2_122_w_unobs_4_F_E1_14_4.558521561"	"122"	"unobs"	"4"	"w"	"4.558521561"	"Test 1"	-0.0153935240384615
"160"	"20191010T105901_ProShame2_122_w_unobs_4_F_E1_14_4.558521561"	"122"	"unobs"	"4"	"w"	"4.558521561"	"Test 2"	-0.0389317740384615
"161"	"20191011T092520_ProShame2_124_w_unobs_4_NA_E1_13_4.966461328"	"124"	"unobs"	"4"	"w"	"4.966461328"	"Test 1"	0.0341964653846154
"162"	"20191011T092520_ProShame2_124_w_unobs_4_NA_E1_13_4.966461328"	"124"	"unobs"	"4"	"w"	"4.966461328"	"Test 2"	0.107616490384615
"163"	"20191011T094859_ProShame2_125_w_unobs_4_NA_E1_13_4.878850103"	"125"	"unobs"	"4"	"w"	"4.878850103"	"Test 1"	-0.0504873461538461
"164"	"20191011T100812_ProShame2_126_w_unobs_4_NA_E1_13_4.999315537"	"126"	"unobs"	"4"	"w"	"4.999315537"	"Test 1"	-0.0689014262820513
